Cluster Name,RA_J2000,Dec_J2000,Z,Gal_Long,Gal_Lat,PSZ2,M_500,ACT name,ACTDR5,M500Cal,VISTA,DECam,SPLUS,Comments
Abell1451,180.821,-21.523,0.199,288.266,+39.974,1355,7.162,Outside ACT,0,,HiLx,DR10,SPLUS obs,
RXC J1212.3-1816,183.079,-18.279,0.269,290.059,+43.613,0,0.,Outside ACT,0,,HiLx,DR10,SPLUS obs,
Abell1689,197.875,-01.335,0.1832,313.361,+61.129,1478,8.769,J1311.5-0119,2676,14.062,HiLx,DR9,SPLUS obs,WAVES
Abell1835,210.218,+02.878,0.252,340.366,+60.582,1589,9.75,J1401.0+0252,2854,15.231,HiLx,DR9,SPLUS obs,WAVES
RXC J1504.1-0248,226.031,-02.804,0.215,355.076,+46.199,1634,6.666,J1504.1-0248,3062,11.274,HiLx,DR9,,MUSE
PSZ2 G304.84-41.40,007.034,-75.635,0.41,304.856,-41.406,1433,7.646,Outside ACT,0,,SMC,DR10,,MUSE
PSZ2 G271.53-56.57,041.369,-53.042,0.30,271.539,-56.571,1263,6.775,J0245.5-5302,1115,10.655,VHS,DR9,SPLUS obs,MeerKAT MUSE
PSZ2 G223.93-60.10,046.753,-28.684,0.2537,223.936,-60.107,1001,6.960,J0307.0-2840,1245,8.601,VHS,DR9,,Abell 3088 MUSE
Abell3112,049.495,-44.236,0.075,252.929,-56.077,1155,2.927,J0317.9-4420,1296,2.714,VHS,DR9,SPLUS obs,SPLUS
PSZ2 G195.75-24.32,073.527,+02.962,0.203,195.758,-24.321,896,7.800,J0454.1+0255,1674,9.044,VHS,DR10,,Abell520 MUSE
PSZ2 G208.60-26.00,077.699,-08.029,0.2195,208.615,-25.999,938,7.744,J0510.7-0801,1724,9.101,VHS,DR10,,MeerKAT MUSE
PSZ2 G262.27-35.38,079.153,-54.520,0.2952,262.254,-35.380,1208,8.759,J0516.6-5430,1737,6.159,VHS,DR9,,MeerKAT MUSE Foex+2017
PSZ2 G244.37-32.15,082.221,-39.471,0.2839,244.374,-32.141,1107,7.406,J0528.8-3927,1777,8.976,VHS,DR9,,MeerKAT MUSE GMRT-SUCCESS
PSZ2 G241.76-30.88,083.233,-37.026,0.2708,241.747,-30.879,1091,7.004,J0532.9-3701,1787,10.487,VHS,DR9,,MUSE
PSZ2 G263.14-23.41,099.725,-53.981,0.2266,263.149,-23.418,1214,6.826,J0638.7-5358,1893,12.543,VHS,DR10,,MeerKAT
PSZ2 G263.68-22.55,101.372,-54.219,0.1644,263.670,-22.546,1218,7.964,J0645.4-5413,1896,11.181,VHS,DR10,,Abell 3404 MeerKAT MUSE
PSZ2 G266.83+25.08,155.962,-27.258,0.2542,266.827,+25.078,1235,7.367,Outside ACT,0,,VHS,DR10,SPLUS obs,
Abell1650,194.675,-01.759,0.085,306.683,+61.059,1450,4.446,J1258.7-0145,2633,8.051,VHS,DR9,SPLUS obs,
Abell1651,194.843,-04.196,0.086,306.733,+58.617,1451,5.074,J1259.3-0410,2636,6.384,VHS,DR9,SPLUS obs,
PSZ2 G313.88-17.11,240.455,-75.754,0.153,313.88,-17.11,1482,7.858,Outside ACT,0,,VHS,NO,,
PSZ2 G347.17-27.36,293.723,-50.878,0.2371,347.176,-27.361,1618,7.185,J1934.9-5050,3377,5.333,VHS,DR10,,
PSZ2 G342.33-34.93,305.853,-55.575,0.232,342.337,-34.936,1600,6.678,J2023.3-5535,3398,9.497,VHS,DR9,,MeerKAT
Abell3827,330.469,-59.939,0.098,332.239,-46.378,1560,5.771,J2201.8-5956,3650,8.672,VHS,DR9,,
