| index |                name |        hms |       dms |     z |  m500 | m500lo | m500hi | index_PSZ |    hms_PSZ |   dms_PSZ | z_PSZ | m500_PSZ | m500lo_PSZ | m500hi_PSZ | index_ACT |            ACT_name |    hms_ACT |   dms_ACT | z_ACT | m500_ACT | m500lo_ACT | m500hi_ACT |
|    10 |  PSZ2 G221.06-44.05 | 04:16:09.1 | -24:04:16 | 0.396 | 10.52 |   1.92 |   2.18 |       562 | 04:16:08.4 | -24:03:15 | -1.00 |     0.00 |       0.00 |       0.00 |        17 | ACT-CL J0416.1-2404 | 04:16:09.1 | -24:04:16 |  0.40 |    10.52 |       1.92 |       2.18 |
|     9 |  PSZ2 G216.76-41.84 | 04:21:22.1 | -20:22:43 | 0.389 |  6.21 |   1.17 |   1.33 |           | 04:21:17.7 | -20:23:42 | -1.00 |     0.00 |       0.00 |       0.00 |        85 | ACT-CL J0421.3-2022 | 04:21:22.1 | -20:22:43 |  0.39 |     6.21 |       1.17 |       1.33 |
|     3 |  PSZ2 G195.39-29.08 | 04:37:09.5 | +00:43:59 | 0.294 |  7.71 |   1.51 |   1.74 |           | 04:37:12.0 | +00:43:37 |  0.28 |     6.95 |       0.81 |       0.77 |        48 | ACT-CL J0437.1+0043 | 04:37:09.5 | +00:43:59 |  0.29 |     7.71 |       1.51 |       1.74 |
|     7 |  PSZ2 G208.80-30.67 | 04:54:08.9 | -10:13:22 | 0.253 |  6.61 |   1.34 |   1.57 |        37 | 04:54:05.0 | -10:13:34 |  0.25 |     9.07 |       0.61 |       0.59 |        68 | ACT-CL J0454.1-1013 | 04:54:08.9 | -10:13:22 |  0.25 |     6.61 |       1.34 |       1.57 |
|     4 |  PSZ2 G195.75-24.32 | 04:54:10.3 | +02:55:12 | 0.199 |  9.04 |   1.85 |   2.16 |        22 | 04:54:06.3 | +02:57:44 |  0.20 |     9.75 |       0.52 |       0.50 |        25 | ACT-CL J0454.1+0255 | 04:54:10.3 | +02:55:12 |  0.20 |     9.04 |       1.85 |       2.16 |
|     6 |  PSZ2 G208.60-26.00 | 05:10:47.2 | -08:01:29 | 0.220 |  9.10 |   1.83 |   2.13 |        25 | 05:10:44.8 | -08:01:12 |  0.22 |     9.68 |       0.61 |       0.59 |        23 | ACT-CL J0510.7-0801 | 05:10:47.2 | -08:01:29 |  0.22 |     9.10 |       1.83 |       2.13 |
|    22 |  PSZ2 G262.27-35.38 | 05:16:35.2 | -54:32:03 | 0.295 | 10.95 |   0.31 |   0.30 |        14 | 05:16:35.2 | -54:32:03 |  0.30 |    10.95 |       0.31 |       0.30 |           |                     |            |           |       |          |            |            |
|    18 |  PSZ2 G244.37-32.15 | 05:28:51.9 | -39:27:45 | 0.284 |  8.98 |   1.72 |   1.98 |        32 | 05:28:48.2 | -39:28:38 |  0.28 |     9.26 |       0.49 |       0.46 |        27 | ACT-CL J0528.8-3927 | 05:28:51.9 | -39:27:45 |  0.28 |     8.98 |       1.72 |       1.98 |
|    16 |  PSZ2 G241.76-30.88 | 05:32:55.8 | -37:01:33 | 0.275 | 10.49 |   2.02 |   2.32 |        45 | 05:32:55.6 | -37:02:22 |  0.27 |     8.76 |       0.43 |       0.42 |        18 | ACT-CL J0532.9-3701 | 05:32:55.8 | -37:01:33 |  0.27 |    10.49 |       2.02 |       2.32 |
|    28 |  PSZ2 G271.18-30.95 | 05:49:23.0 | -62:04:21 | 0.370 |  9.22 |   0.40 |   0.38 |        33 | 05:49:23.0 | -62:04:21 |  0.37 |     9.22 |       0.40 |       0.38 |           |                     |            |           |       |          |            |            |
|    24 |  PSZ2 G263.14-23.41 | 06:38:47.1 | -53:58:23 | 0.226 | 12.54 |   2.49 |   2.88 |        52 | 06:38:53.8 | -53:58:53 |  0.23 |     8.53 |       0.39 |       0.43 |         8 | ACT-CL J0638.7-5358 | 06:38:47.1 | -53:58:23 |  0.23 |    12.54 |       2.49 |       2.88 |
|    25 |  PSZ2 G263.68-22.55 | 06:45:28.5 | -54:13:23 | 0.167 | 11.18 |   2.33 |   2.74 |        19 | 06:45:28.6 | -54:13:45 |  0.16 |     9.96 |       0.26 |       0.29 |        13 | ACT-CL J0645.4-5413 | 06:45:28.5 | -54:13:23 |  0.17 |    11.18 |       2.33 |       2.74 |
|    26 |  PSZ2 G266.04-21.25 | 06:58:32.3 | -55:57:10 | 0.296 | 16.06 |   3.05 |   3.49 |         1 | 06:58:31.6 | -55:57:42 |  0.30 |    16.38 |       0.37 |       0.36 |         1 | ACT-CL J0658.5-5557 | 06:58:32.3 | -55:57:10 |  0.30 |    16.06 |       3.05 |       3.49 |
|    32 |  PSZ2 G284.97-23.69 | 07:23:21.4 | -73:26:21 | 0.390 | 10.49 |   0.43 |   0.42 |        15 | 07:23:21.4 | -73:26:21 |  0.39 |    10.49 |       0.43 |       0.42 |           |                     |            |           |       |          |            |            |
|    11 |  PSZ2 G222.78+12.84 | 07:55:06.3 | -02:41:54 | 0.369 |  8.41 |   0.73 |   0.73 |        57 | 07:55:06.3 | -02:41:54 |  0.37 |     8.41 |       0.73 |       0.73 |           |                     |            |           |       |          |            |            |
|    17 |  PSZ2 G241.98+14.87 | 08:42:00.1 | -17:30:10 | 0.169 |  8.24 |   0.39 |   0.39 |        66 | 08:42:00.1 | -17:30:10 |  0.17 |     8.24 |       0.39 |       0.39 |           |                     |            |           |       |          |            |            |
|    33 |  PSZ2 G285.63-17.23 | 08:44:10.5 | -71:12:07 | 0.350 |  8.30 |   0.51 |   0.50 |        64 | 08:44:10.5 | -71:12:07 |  0.35 |     8.30 |       0.51 |       0.50 |           |                     |            |           |       |          |            |            |
|    14 |  PSZ2 G235.56+23.29 | 08:56:10.8 | -07:42:42 | 0.374 |  8.47 |   0.81 |   0.82 |        55 | 08:56:10.8 | -07:42:42 |  0.37 |     8.47 |       0.81 |       0.82 |           |                     |            |           |       |          |            |            |
|    19 |  PSZ2 G250.04+24.14 | 09:32:15.5 | -17:40:17 | 0.400 |  8.31 |   0.70 |   0.64 |        63 | 09:32:15.5 | -17:40:17 |  0.40 |     8.31 |       0.70 |       0.64 |           |                     |            |           |       |          |            |            |
|    13 |  PSZ2 G233.68+36.14 | 09:35:14.0 | +00:48:02 | 0.355 |  7.48 |   1.40 |   1.59 |           | 09:35:16.7 | +00:49:06 |  0.36 |     6.85 |       0.84 |       0.81 |        52 | ACT-CL J0935.2+0048 | 09:35:14.0 | +00:48:02 |  0.36 |     7.48 |       1.40 |       1.59 |
|    15 |  PSZ2 G239.43+47.95 | 10:23:39.0 | +04:11:16 | 0.285 | 12.01 |   2.31 |   2.65 |        68 | 10:23:41.7 | +04:09:58 |  0.28 |     8.16 |       0.55 |       0.55 |        11 | ACT-CL J1023.6+0411 | 10:23:39.0 | +04:11:16 |  0.28 |    12.01 |       2.31 |       2.65 |
|    27 |  PSZ2 G266.83+25.08 | 10:23:53.1 | -27:15:07 | 0.254 |  9.21 |   0.46 |   0.45 |        34 | 10:23:53.1 | -27:15:07 |  0.25 |     9.21 |       0.46 |       0.45 |           |                     |            |           |       |          |            |            |
|    20 |  PSZ2 G257.09+55.61 | 11:15:51.5 | +01:29:56 | 0.356 |  9.80 |   1.82 |   2.06 |        49 | 11:15:47.8 | +01:29:46 |  0.35 |     8.58 |       0.67 |       0.66 |        20 | ACT-CL J1115.8+0129 | 11:15:51.5 | +01:29:56 |  0.36 |     9.80 |       1.82 |       2.06 |
|    30 |  PSZ2 G278.58+39.16 | 11:31:56.5 | -19:54:51 | 0.308 | 11.21 |   0.57 |   0.57 |         9 | 11:31:56.5 | -19:54:51 |  0.31 |    11.21 |       0.57 |       0.57 |           |                     |            |           |       |          |            |            |
|    34 |  PSZ2 G286.98+32.90 | 11:50:49.4 | -28:05:07 | 0.390 | 18.37 |   0.52 |   0.49 |         0 | 11:50:49.4 | -28:05:07 |  0.39 |    18.37 |       0.52 |       0.49 |           |                     |            |           |       |          |            |            |
|    37 |  PSZ2 G292.56+21.97 | 12:01:11.9 | -39:53:01 | 0.300 |  9.91 |   0.58 |   0.55 |        21 | 12:01:11.9 | -39:53:01 |  0.30 |     9.91 |       0.58 |       0.55 |           |                     |            |           |       |          |            |            |
|    35 |  PSZ2 G288.27+39.97 | 12:03:18.1 | -21:31:29 | 0.199 |  8.95 |   0.41 |   0.35 |        41 | 12:03:18.1 | -21:31:29 |  0.20 |     8.95 |       0.41 |       0.35 |           |                     |            |           |       |          |            |            |
|    31 |  PSZ2 G284.41+52.45 | 12:06:14.9 | -08:47:19 | 0.441 | 13.97 |   0.60 |   0.60 |         4 | 12:06:14.9 | -08:47:19 |  0.44 |    13.97 |       0.60 |       0.60 |           |                     |            |           |       |          |            |            |
|    39 |  PSZ2 G306.66+61.06 | 12:58:42.0 | -01:45:55 | 0.085 |  8.05 |   1.91 |   2.35 |           | 12:58:39.6 | -01:44:58 |  0.08 |     5.56 |       0.31 |       0.30 |        38 | ACT-CL J1258.7-0145 | 12:58:42.0 | -01:45:55 |  0.08 |     8.05 |       1.91 |       2.35 |
|     0 | ACT-CL J1311.0-0310 | 13:11:01.0 | -03:10:41 | 0.491 |  4.95 |   0.95 |   1.09 |           |            |           |       |          |            |            |       184 | ACT-CL J1311.0-0310 | 13:11:01.0 | -03:10:41 |  0.49 |     4.95 |       0.95 |       1.09 |
|    44 |  PSZ2 G313.33+61.13 | 13:11:30.8 | -01:19:55 | 0.201 | 14.06 |   2.83 |   3.30 |        13 | 13:11:26.4 | -01:20:10 |  0.18 |    10.96 |       0.42 |       0.42 |         5 | ACT-CL J1311.5-0119 | 13:11:30.8 | -01:19:55 |  0.20 |    14.06 |       2.83 |       3.30 |
|    43 |  PSZ2 G309.49+37.31 | 13:14:31.5 | -25:15:56 | 0.244 |  8.40 |   0.67 |   0.66 |        58 | 13:14:31.5 | -25:15:56 |  0.24 |     8.40 |       0.67 |       0.66 |           |                     |            |           |       |          |            |            |
|    41 |  PSZ2 G308.44+24.24 | 13:17:06.7 | -38:21:20 | 0.255 |  7.86 |   0.69 |   0.69 |        74 | 13:17:06.7 | -38:21:20 |  0.26 |     7.86 |       0.69 |       0.69 |           |                     |            |           |       |          |            |            |
|    49 |  PSZ2 G323.30+63.66 | 13:27:01.4 | +02:12:13 | 0.260 |  6.47 |   1.28 |   1.48 |        70 | 13:26:59.4 | +02:12:42 |  0.26 |     8.03 |       0.56 |       0.52 |        71 | ACT-CL J1327.0+0212 | 13:27:01.4 | +02:12:13 |  0.26 |     6.47 |       1.28 |       1.48 |
|    45 |  PSZ2 G313.84+19.21 | 13:47:32.6 | -42:27:37 | 0.282 |  8.37 |   0.69 |   0.67 |        59 | 13:47:32.6 | -42:27:37 |  0.28 |     8.37 |       0.69 |       0.67 |           |                     |            |           |       |          |            |            |
|    50 |  PSZ2 G324.04+48.79 | 13:47:32.7 | -11:45:45 | 0.452 | 13.79 |   0.76 |   0.71 |         5 | 13:47:32.7 | -11:45:45 |  0.45 |    13.79 |       0.76 |       0.71 |           |                     |            |           |       |          |            |            |
|    40 |  PSZ2 G307.56-10.74 | 13:54:38.5 | -73:02:38 | 0.250 |  9.68 |   0.65 |   0.63 |        24 | 13:54:38.5 | -73:02:38 |  0.25 |     9.68 |       0.65 |       0.63 |           |                     |            |           |       |          |            |            |
|    54 |  PSZ2 G340.36+60.58 | 14:01:01.8 | +02:52:32 | 0.252 | 15.23 |   2.98 |   3.44 |         7 | 14:01:00.7 | +02:52:14 |  0.25 |    12.19 |       0.50 |       0.45 |         4 | ACT-CL J1401.0+0252 | 14:01:01.8 | +02:52:32 |  0.25 |    15.23 |       2.98 |       3.44 |
|    47 |  PSZ2 G314.96+10.06 | 14:07:36.1 | -51:01:15 | 0.097 |  8.54 |   0.36 |   0.39 |        51 | 14:07:36.1 | -51:01:15 |  0.10 |     8.54 |       0.36 |       0.39 |           |                     |            |           |       |          |            |            |
|    51 |  PSZ2 G325.70+17.34 | 14:47:26.6 | -40:20:44 | 0.315 |  9.46 |   0.71 |   0.64 |        28 | 14:47:26.6 | -40:20:44 |  0.32 |     9.46 |       0.71 |       0.64 |           |                     |            |           |       |          |            |            |
|    55 |  PSZ2 G340.94+35.07 | 14:59:34.5 | -18:10:22 | 0.236 |  9.74 |   0.61 |   0.56 |        23 | 14:59:34.5 | -18:10:22 |  0.24 |     9.74 |       0.61 |       0.56 |           |                     |            |           |       |          |            |            |
|    56 |  PSZ2 G341.16+34.81 | 15:00:50.7 | -18:16:31 | 0.390 |  9.28 |   0.82 |   0.81 |        31 | 15:00:50.7 | -18:16:31 |  0.39 |     9.28 |       0.82 |       0.81 |           |                     |            |           |       |          |            |            |
|    62 |  PSZ2 G355.07+46.20 | 15:04:06.8 | -02:48:22 | 0.217 | 11.27 |   2.24 |   2.60 |        61 | 15:04:05.4 | -02:47:54 |  0.22 |     8.33 |       0.60 |       0.60 |        12 | ACT-CL J1504.1-0248 | 15:04:06.8 | -02:48:22 |  0.22 |    11.27 |       2.24 |       2.60 |
|    58 |  PSZ2 G346.61+35.06 | 15:15:00.5 | -15:21:23 | 0.223 | 11.08 |   0.57 |   0.51 |        11 | 15:15:00.5 | -15:21:23 |  0.22 |    11.08 |       0.57 |       0.51 |           |                     |            |           |       |          |            |            |
|    46 |  PSZ2 G313.88-17.11 | 16:01:45.3 | -75:45:26 | 0.153 | 10.03 |   0.35 |   0.33 |        18 | 16:01:45.3 | -75:45:26 |  0.15 |    10.03 |       0.35 |       0.33 |           |                     |            |           |       |          |            |            |
|    48 |  PSZ2 G315.68-18.04 | 16:31:20.9 | -75:08:37 | 0.105 |  8.03 |   0.26 |   0.28 |        71 | 16:31:20.9 | -75:08:37 |  0.10 |     8.03 |       0.26 |       0.28 |           |                     |            |           |       |          |            |            |
|    53 |  PSZ2 G337.14-25.98 | 19:14:38.2 | -59:28:02 | 0.264 |  7.83 |   1.53 |   1.77 |        67 | 19:14:28.6 | -59:28:19 |  0.26 |     8.23 |       0.63 |       0.59 |        45 | ACT-CL J1914.6-5928 | 19:14:38.2 | -59:28:02 |  0.26 |     7.83 |       1.53 |       1.77 |
|    59 |  PSZ2 G347.17-27.36 | 19:34:53.5 | -50:52:40 | 0.237 |  8.98 |   0.57 |   0.55 |        40 | 19:34:53.5 | -50:52:40 |  0.24 |     8.98 |       0.57 |       0.55 |           |                     |            |           |       |          |            |            |
|    57 |  PSZ2 G342.33-34.93 | 20:23:20.2 | -55:35:26 | 0.232 |  9.50 |   1.85 |   2.14 |        60 | 20:23:24.7 | -55:34:30 |  0.23 |     8.35 |       0.53 |       0.56 |        21 | ACT-CL J2023.3-5535 | 20:23:20.2 | -55:35:26 |  0.23 |     9.50 |       1.85 |       2.14 |
|    52 |  PSZ2 G333.89-43.60 | 21:37:49.7 | -60:07:12 | 0.318 |  8.32 |   0.63 |   0.59 |        62 | 21:37:49.7 | -60:07:12 |  0.32 |     8.32 |       0.63 |       0.59 |           |                     |            |           |       |          |            |            |
|    61 |  PSZ2 G349.46-59.95 | 22:48:49.2 | -44:31:40 | 0.351 | 18.97 |   3.55 |   4.05 |         3 | 22:48:51.6 | -44:31:33 |  0.35 |    14.20 |       0.43 |       0.43 |         0 | ACT-CL J2248.8-4431 | 22:48:49.2 | -44:31:40 |  0.35 |    18.97 |       3.55 |       4.05 |
|    60 |  PSZ2 G348.90-67.37 | 23:25:12.2 | -41:11:45 | 0.358 |  7.62 |   1.41 |   1.61 |        39 | 23:25:08.2 | -41:12:42 |  0.36 |     8.99 |       0.56 |       0.61 |        49 | ACT-CL J2325.2-4111 | 23:25:12.2 | -41:11:45 |  0.36 |     7.62 |       1.41 |       1.61 |
